s1 s2 s3	 s1'	s4 s5 s6	s2'		H	  H'
 -1 -1 -1	 -1	 -1 -1 -1	 -1		  6	  2
 -1 -1 -1	 -1	 -1 -1  1	 -1		  2	  2
 -1 -1 -1	 -1	 -1  1 -1	 -1		  2	  2
 -1 -1 -1	 -1	 -1  1  1	  1		  2	 -2
 -1 -1 -1	 -1	  1 -1 -1	 -1		  2	  2
 -1 -1 -1	 -1	  1 -1  1	  1		 -2	 -2
 -1 -1 -1	 -1	  1  1 -1	  1		  2	 -2
 -1 -1 -1	 -1	  1  1  1	  1		  2	 -2
 -1 -1  1	 -1	 -1 -1 -1	 -1		  2	  2
 -1 -1  1	 -1	 -1 -1  1	 -1		 -2	  2
 -1 -1  1	 -1	 -1  1 -1	 -1		 -2	  2
 -1 -1  1	 -1	 -1  1  1	  1		 -2	 -2
 -1 -1  1	 -1	  1 -1 -1	 -1		  2	  2
 -1 -1  1	 -1	  1 -1  1	  1		 -2	 -2
 -1 -1  1	 -1	  1  1 -1	  1		  2	 -2
 -1 -1  1	 -1	  1  1  1	  1		  2	 -2
 -1  1 -1	 -1	 -1 -1 -1	 -1		  2	  2
 -1  1 -1	 -1	 -1 -1  1	 -1		 -2	  2
 -1  1 -1	 -1	 -1  1 -1	 -1		 -2	  2
 -1  1 -1	 -1	 -1  1  1	  1		 -2	 -2
 -1  1 -1	 -1	  1 -1 -1	 -1		 -2	  2
 -1  1 -1	 -1	  1 -1  1	  1		 -6	 -2
 -1  1 -1	 -1	  1  1 -1	  1		 -2	 -2
 -1  1 -1	 -1	  1  1  1	  1		 -2	 -2
 -1  1  1	  1	 -1 -1 -1	 -1		  2	 -2
 -1  1  1	  1	 -1 -1  1	 -1		 -2	 -2
 -1  1  1	  1	 -1  1 -1	 -1		 -2	 -2
 -1  1  1	  1	 -1  1  1	  1		 -2	  2
 -1  1  1	  1	  1 -1 -1	 -1		  2	 -2
 -1  1  1	  1	  1 -1  1	  1		 -2	  2
 -1  1  1	  1	  1  1 -1	  1		  2	  2
 -1  1  1	  1	  1  1  1	  1		  2	  2
  1 -1 -1	 -1	 -1 -1 -1	 -1		  2	  2
  1 -1 -1	 -1	 -1 -1  1	 -1		  2	  2
  1 -1 -1	 -1	 -1  1 -1	 -1		 -2	  2
  1 -1 -1	 -1	 -1  1  1	  1		  2	 -2
  1 -1 -1	 -1	  1 -1 -1	 -1		 -2	  2
  1 -1 -1	 -1	  1 -1  1	  1		 -2	 -2
  1 -1 -1	 -1	  1  1 -1	  1		 -2	 -2
  1 -1 -1	 -1	  1  1  1	  1		  2	 -2
  1 -1  1	  1	 -1 -1 -1	 -1		 -2	 -2
  1 -1  1	  1	 -1 -1  1	 -1		 -2	 -2
  1 -1  1	  1	 -1  1 -1	 -1		 -6	 -2
  1 -1  1	  1	 -1  1  1	  1		 -2	  2
  1 -1  1	  1	  1 -1 -1	 -1		 -2	 -2
  1 -1  1	  1	  1 -1  1	  1		 -2	  2
  1 -1  1	  1	  1  1 -1	  1		 -2	  2
  1 -1  1	  1	  1  1  1	  1		  2	  2
  1  1 -1	  1	 -1 -1 -1	 -1		  2	 -2
  1  1 -1	  1	 -1 -1  1	 -1		  2	 -2
  1  1 -1	  1	 -1  1 -1	 -1		 -2	 -2
  1  1 -1	  1	 -1  1  1	  1		  2	  2
  1  1 -1	  1	  1 -1 -1	 -1		 -2	 -2
  1  1 -1	  1	  1 -1  1	  1		 -2	  2
  1  1 -1	  1	  1  1 -1	  1		 -2	  2
  1  1 -1	  1	  1  1  1	  1		  2	  2
  1  1  1	  1	 -1 -1 -1	 -1		  2	 -2
  1  1  1	  1	 -1 -1  1	 -1		  2	 -2
  1  1  1	  1	 -1  1 -1	 -1		 -2	 -2
  1  1  1	  1	 -1  1  1	  1		  2	  2
  1  1  1	  1	  1 -1 -1	 -1		  2	 -2
  1  1  1	  1	  1 -1  1	  1		  2	  2
  1  1  1	  1	  1  1 -1	  1		  2	  2
  1  1  1	  1	  1  1  1	  1		  6	  2
